PLAYER,TEAM,POSITION,ASSISTS,MINUTES,ASSISTS_PER_90
Jacob Shaffelburg,Canada,MIDFIELDER,0,92,0.0
Ermedin Demirović,Bosnia-Herz,FORWARD,0,354,0.0
Kerim Alajbegović,Bosnia-Herz,MIDFIELDER,0,277,0.0
Benjamin Tahirovic,Bosnia-Herz,MIDFIELDER,0,237,0.0
Esmir Bajraktarevic,Bosnia-Herz,MIDFIELDER,0,230,0.0
Amar Memić,Bosnia-Herz,MIDFIELDER,0,224,0.0
Ivan Šunjić,Bosnia-Herz,MIDFIELDER,0,196,0.0
Ivan Bašić,Bosnia-Herz,MIDFIELDER,1,179,0.5028
Edin Džeko,Bosnia-Herz,FORWARD,0,176,0.0
Vinicius Júnior,Brazil,FORWARD,1,440,0.2045
Bruno Guimarães,Brazil,MIDFIELDER,4,416,0.8654
Casemiro,Brazil,MIDFIELDER,0,379,0.0
Matheus Cunha,Brazil,FORWARD,0,290,0.0
Rayan,Brazil,FORWARD,1,288,0.3125
Lucas Paquetá,Brazil,MIDFIELDER,1,233,0.3863
Gabriel Martinelli,Brazil,MIDFIELDER,0,143,0.0
Raphinha,Brazil,MIDFIELDER,0,129,0.0
Endrick,Brazil,FORWARD,0,114,0.0
Neil El Aynaoui,Morocco,MIDFIELDER,0,562,0.0
Bilal El Khannouss,Morocco,MIDFIELDER,0,461,0.0
Brahim Díaz,Morocco,MIDFIELDER,4,457,0.7877
Azzedine Ounahi,Morocco,MIDFIELDER,0,435,0.0
Ayyoub Bouaddi,Morocco,MIDFIELDER,0,381,0.0
Ismael Saibari,Morocco,FORWARD,0,381,0.0
Chemsdine Talbi,Morocco,MIDFIELDER,1,179,0.5028
Soufiane Rahimi,Morocco,FORWARD,1,163,0.5521
Sofyan Amrabat,Morocco,MIDFIELDER,0,147,0.0
Weston McKennie,USA,MIDFIELDER,0,443,0.0
Malik Tillman,USA,MIDFIELDER,1,356,0.2528
Tyler Adams,USA,MIDFIELDER,0,341,0.0
Folarin Balogun,USA,FORWARD,0,312,0.0
Sergiño Dest,USA,MIDFIELDER,0,297,0.0
Christian Pulisic,USA,MIDFIELDER,1,223,0.4036
Ricardo Pepi,USA,FORWARD,0,204,0.0
Sebastian Berhalter,USA,MIDFIELDER,1,187,0.4813
Gio Reyna,USA,MIDFIELDER,0,131,0.0
Aiden O'Neill,Australia,MIDFIELDER,0,360,0.0
Connor Metcalfe,Australia,MIDFIELDER,0,315,0.0
Jordy Bos,Australia,MIDFIELDER,0,308,0.0
Nestory Irankunda,Australia,FORWARD,0,261,0.0
Jackson Irvine,Australia,MIDFIELDER,0,223,0.0
Aziz Behich,Australia,MIDFIELDER,0,217,0.0
Paul Okon-Engstler,Australia,MIDFIELDER,1,197,0.4569
Mo Touré,Australia,FORWARD,0,165,0.0
Cristian Volpato,Australia,MIDFIELDER,0,160,0.0
Andrés Cubas,Paraguay,MIDFIELDER,0,480,0.0
Matías Galarza,Paraguay,MIDFIELDER,1,388,0.232
Julio Enciso,Paraguay,FORWARD,2,386,0.4663
Diego Gómez,Paraguay,MIDFIELDER,0,304,0.0
Miguel Almirón,Paraguay,MIDFIELDER,0,282,0.0
Damián Bobadilla,Paraguay,MIDFIELDER,0,189,0.0
Mauricio,Paraguay,MIDFIELDER,0,173,0.0
Gabriel Ávalos,Paraguay,FORWARD,0,141,0.0
Gustavo Caballero,Paraguay,FORWARD,0,96,0.0
Florian Wirtz,Germany,MIDFIELDER,3,361,0.7479
Kai Havertz,Germany,FORWARD,0,353,0.0
Leroy Sané,Germany,MIDFIELDER,0,326,0.0
Aleksandar Pavlovic,Germany,MIDFIELDER,0,272,0.0
Felix Nmecha,Germany,MIDFIELDER,1,270,0.3333
Jamal Musiala,Germany,MIDFIELDER,0,270,0.0
Deniz Undav,Germany,FORWARD,2,151,1.1921
Leon Goretzka,Germany,MIDFIELDER,0,99,0.0
Franck Kessié,Côte d'Ivoire,MIDFIELDER,0,346,0.0
Yan Diomandé,Côte d'Ivoire,MIDFIELDER,1,329,0.2736
Ibrahim Sangaré,Côte d'Ivoire,MIDFIELDER,1,268,0.3358
Ange-Yoan Bonny,Côte d'Ivoire,FORWARD,0,234,0.0
Nicolas Pépé,Côte d'Ivoire,FORWARD,1,234,0.3846
Christ Inao Oulaï,Côte d'Ivoire,MIDFIELDER,0,208,0.0
Amad Diallo,Côte d'Ivoire,MIDFIELDER,0,185,0.0
Elye Wahi,Côte d'Ivoire,FORWARD,0,110,0.0
Seko Fofana,Côte d'Ivoire,MIDFIELDER,0,92,0.0
Gonzalo Plata,Ecuador,FORWARD,0,360,0.0
Moisés Caicedo,Ecuador,MIDFIELDER,0,360,0.0
Pedro Vite,Ecuador,MIDFIELDER,1,360,0.25
John Yeboah,Ecuador,MIDFIELDER,0,311,0.0
Enner Valencia,Ecuador,FORWARD,0,287,0.0
Nilson Angulo,Ecuador,MIDFIELDER,0,218,0.0
Kevin Rodríguez,Ecuador,FORWARD,1,118,0.7627
Cody Gakpo,Netherlands,FORWARD,1,368,0.2446
Ryan Gravenberch,Netherlands,MIDFIELDER,2,345,0.5217
Frenkie de Jong,Netherlands,MIDFIELDER,0,328,0.0
Crysencio Summerville,Netherlands,FORWARD,2,253,0.7115
Brian Brobbey,Netherlands,FORWARD,0,223,0.0
Tijjani Reijnders,Netherlands,MIDFIELDER,1,199,0.4523
Donyell Malen,Netherlands,FORWARD,0,185,0.0
Daichi Kamada,Japan,MIDFIELDER,0,329,0.0
Ayase Ueda,Japan,FORWARD,1,321,0.2804
Keito Nakamura,Japan,MIDFIELDER,1,307,0.2932
Ritsu Doan,Japan,MIDFIELDER,1,278,0.3237
Kaishū Sano,Japan,MIDFIELDER,1,270,0.3333
Daizen Maeda,Japan,MIDFIELDER,0,244,0.0
Junya Itō,Japan,MIDFIELDER,0,216,0.0
Ao Tanaka,Japan,MIDFIELDER,0,193,0.0
Yukinari Sugawara,Japan,MIDFIELDER,0,148,0.0
Viktor Gyökeres,Sweden,FORWARD,2,360,0.5
Alexander Isak,Sweden,FORWARD,3,357,0.7563
Yasin Ayari,Sweden,MIDFIELDER,0,339,0.0
Gabriel Gudmundsson,Sweden,MIDFIELDER,0,330,0.0
Alexander Bernhardsson,Sweden,MIDFIELDER,0,217,0.0
Anthony Elanga,Sweden,MIDFIELDER,0,217,0.0
Lucas Bergvall,Sweden,MIDFIELDER,1,181,0.4972
Elliot Stroud,Sweden,MIDFIELDER,0,166,0.0
Jesper Karlström,Sweden,MIDFIELDER,0,138,0.0
Benjamin Nygren,Sweden,MIDFIELDER,0,130,0.0
Leandro Trossard,Belgium,MIDFIELDER,2,506,0.3557
Youri Tielemans,Belgium,MIDFIELDER,0,474,0.0
Kevin De Bruyne,Belgium,MIDFIELDER,0,382,0.0
Charles De Ketelaere,Belgium,FORWARD,1,350,0.2571
Nicolas Raskin,Belgium,MIDFIELDER,2,341,0.5279
Hans Vanaken,Belgium,MIDFIELDER,2,319,0.5643
Jeremy Doku,Belgium,MIDFIELDER,0,309,0.0
Romelu Lukaku,Belgium,FORWARD,1,233,0.3863
Dodi Lukebakio,Belgium,MIDFIELDER,0,164,0.0
Amadou Onana,Belgium,MIDFIELDER,0,106,0.0
Marwan Attia,Egypt,MIDFIELDER,1,434,0.2074
Mohamed Salah,Egypt,FORWARD,2,425,0.4235
Mostafa Ziko,Egypt,FORWARD,1,370,0.2432
Emam Ashour,Egypt,MIDFIELDER,0,362,0.0
Mohanad Lasheen,Egypt,MIDFIELDER,0,359,0.0
Omar Marmoush,Egypt,FORWARD,0,326,0.0
Trézéguet,Egypt,MIDFIELDER,1,164,0.5488
Haissem Hassan,Egypt,MIDFIELDER,1,126,0.7143
Rodri,Spain,MIDFIELDER,0,724,0.0
Lamine Yamal,Spain,MIDFIELDER,0,614,0.0
Mikel Oyarzabal,Spain,FORWARD,1,601,0.1498
Pedri,Spain,MIDFIELDER,0,499,0.0
Dani Olmo,Spain,MIDFIELDER,2,491,0.3666
Álex Baena,Spain,MIDFIELDER,1,481,0.1871
Fabián Ruiz Peña,Spain,MIDFIELDER,0,321,0.0
Ferran Torres,Spain,FORWARD,1,288,0.3125
Mikel Merino,Spain,MIDFIELDER,0,199,0.0
Nico Williams,Spain,MIDFIELDER,1,113,0.7965
Kevin Pina,Cabo Verde,MIDFIELDER,0,349,0.0
Ryan Mendes,Cabo Verde,FORWARD,1,330,0.2727
Jamiro Monteiro,Cabo Verde,MIDFIELDER,0,281,0.0
Deroy Duarte,Cabo Verde,MIDFIELDER,0,264,0.0
Dailon Livramento,Cabo Verde,FORWARD,0,174,0.0
Laros Duarte,Cabo Verde,MIDFIELDER,0,166,0.0
Nuno da Costa,Cabo Verde,FORWARD,0,159,0.0
Jovane Cabral,Cabo Verde,FORWARD,0,139,0.0
Willy Semedo,Cabo Verde,FORWARD,0,131,0.0
Hélio Varela,Cabo Verde,FORWARD,0,104,0.0
Kylian Mbappé,France,FORWARD,4,695,0.518
Michael Olise,France,MIDFIELDER,7,646,0.9752
Ousmane Dembélé,France,MIDFIELDER,2,592,0.3041
Adrien Rabiot,France,MIDFIELDER,1,585,0.1538
Désiré Doué,France,MIDFIELDER,1,400,0.225
Manu Koné,France,MIDFIELDER,0,385,0.0
Bradley Barcola,France,MIDFIELDER,1,384,0.2344
Aurélien Tchouaméni,France,MIDFIELDER,1,360,0.25
Rayan Cherki,France,MIDFIELDER,0,130,0.0
Warren Zaïre-Emery,France,MIDFIELDER,0,110,0.0
Sander Berge,Norway,MIDFIELDER,0,480,0.0
Martin Ødegaard,Norway,MIDFIELDER,4,470,0.766
Erling Haaland,Norway,FORWARD,0,465,0.0
Patrick Berg,Norway,MIDFIELDER,2,445,0.4045
Alexander Sørloth,Norway,FORWARD,0,337,0.0
Antonio Nusa,Norway,FORWARD,0,318,0.0
Fredrik Aursnes,Norway,MIDFIELDER,0,304,0.0
Andreas Schjelderup,Norway,FORWARD,3,252,1.0714
Oscar Bobb,Norway,FORWARD,0,225,0.0
Jørgen Strand Larsen,Norway,FORWARD,0,105,0.0
Thelo Aasgaard,Norway,MIDFIELDER,0,90,0.0
Ismaila Sarr,Senegal,MIDFIELDER,1,364,0.2473
Sadio Mané,Senegal,MIDFIELDER,1,362,0.2486
Idrissa Gueye,Senegal,MIDFIELDER,0,361,0.0
Lamine Camara,Senegal,MIDFIELDER,1,248,0.3629
Nicolas Jackson,Senegal,FORWARD,1,234,0.3846
Pape Gueye,Senegal,MIDFIELDER,1,234,0.3846
Ibrahim Mbaye,Senegal,MIDFIELDER,0,157,0.0
Habib Diarra,Senegal,MIDFIELDER,0,143,0.0
Iliman Ndiaye,Senegal,FORWARD,2,114,1.5789
Alexis Mac Allister,Argentina,MIDFIELDER,1,750,0.12
Lionel Messi,Argentina,FORWARD,4,740,0.4865
Enzo Fernández,Argentina,MIDFIELDER,0,659,0.0
Julián Álvarez,Argentina,FORWARD,0,602,0.0
Rodrigo De Paul,Argentina,MIDFIELDER,1,491,0.1833
Leandro Paredes,Argentina,MIDFIELDER,0,473,0.0
Lautaro Martínez,Argentina,FORWARD,1,310,0.2903
Nicolás González,Argentina,MIDFIELDER,1,259,0.3475
Thiago Almada,Argentina,MIDFIELDER,0,241,0.0
Giuliano Simeone,Argentina,FORWARD,0,192,0.0
Konrad Laimer,Austria,MIDFIELDER,1,360,0.25
Marcel Sabitzer,Austria,MIDFIELDER,0,360,0.0
Nicolas Seiwald,Austria,MIDFIELDER,0,315,0.0
Romano Schmid,Austria,MIDFIELDER,0,263,0.0
Xaver Schlager,Austria,MIDFIELDER,1,238,0.3782
Paul Wanner,Austria,MIDFIELDER,0,234,0.0
Michael Gregoritsch,Austria,FORWARD,1,188,0.4787
Marko Arnautović,Austria,FORWARD,0,144,0.0
Fares Chaïbi,Algeria,MIDFIELDER,0,360,0.0
Ibrahim Maza,Algeria,MIDFIELDER,0,351,0.0
Nabil Bentaleb,Algeria,MIDFIELDER,0,285,0.0
Riyad Mahrez,Algeria,MIDFIELDER,1,262,0.3435
Amine Gouiri,Algeria,FORWARD,0,251,0.0
Houssem Aouar,Algeria,MIDFIELDER,2,173,1.0405
Hicham Boudaoui,Algeria,MIDFIELDER,0,128,0.0
Ramiz Zerrouki,Algeria,MIDFIELDER,0,111,0.0
Anis Hadj Moussa,Algeria,MIDFIELDER,0,98,0.0
Luis Díaz,Colombia,FORWARD,1,478,0.1883
Gustavo Puerta,Colombia,MIDFIELDER,1,469,0.1919
Jefferson Lerma,Colombia,MIDFIELDER,0,410,0.0
Jhon Arias,Colombia,MIDFIELDER,0,377,0.0
Luis Suárez,Colombia,FORWARD,1,331,0.2719
James Rodríguez,Colombia,FORWARD,0,313,0.0
Richard Ríos,Colombia,MIDFIELDER,0,140,0.0
Juan Quintero,Colombia,FORWARD,1,121,0.7438
Jhon Córdoba,Colombia,FORWARD,0,99,0.0
Cristiano Ronaldo,Portugal,FORWARD,0,440,0.0
Bruno Fernandes,Portugal,MIDFIELDER,1,422,0.2133
João Neves,Portugal,MIDFIELDER,0,390,0.0
Vitinha,Portugal,MIDFIELDER,0,376,0.0
Pedro Neto,Portugal,MIDFIELDER,1,350,0.2571
João Félix,Portugal,MIDFIELDER,0,201,0.0
Rafael Leão,Portugal,MIDFIELDER,1,158,0.5696
Francisco Conceição,Portugal,MIDFIELDER,0,126,0.0
Bernardo Silva,Portugal,MIDFIELDER,0,97,0.0
Yoane Wissa,Congo DR,FORWARD,0,360,0.0
Samuel Moutoussamy,Congo DR,MIDFIELDER,0,330,0.0
Noah Sadiki,Congo DR,MIDFIELDER,0,259,0.0
Ngal'Ayel Mukau,Congo DR,MIDFIELDER,0,195,0.0
Cédric Bakambu,Congo DR,FORWARD,0,190,0.0
Edo Kayembe,Congo DR,MIDFIELDER,0,160,0.0
Brian Cipenga,Congo DR,MIDFIELDER,0,146,0.0
Nathanaël Mbuku,Congo DR,MIDFIELDER,0,143,0.0
Harry Kane,England,FORWARD,1,652,0.138
Elliot Anderson,England,MIDFIELDER,1,632,0.1424
Jude Bellingham,England,MIDFIELDER,1,614,0.1466
Declan Rice,England,MIDFIELDER,2,557,0.3232
Anthony Gordon,England,MIDFIELDER,3,396,0.6818
Bukayo Saka,England,MIDFIELDER,3,358,0.7542
Morgan Rogers,England,MIDFIELDER,1,339,0.2655
Noni Madueke,England,MIDFIELDER,0,286,0.0
Marcus Rashford,England,MIDFIELDER,1,223,0.4036
Eberechi Eze,England,MIDFIELDER,1,211,0.4265
Ivan Perišić,Croatia,MIDFIELDER,1,360,0.25
Martin Baturina,Croatia,MIDFIELDER,0,321,0.0
Luka Modrić,Croatia,MIDFIELDER,1,317,0.2839
Petar Sučić,Croatia,MIDFIELDER,1,289,0.3114
Mateo Kovačić,Croatia,MIDFIELDER,1,270,0.3333
Nikola Vlašić,Croatia,MIDFIELDER,0,189,0.0
Ante Budimir,Croatia,FORWARD,0,155,0.0
Mario Pašalić,Croatia,MIDFIELDER,0,123,0.0
Petar Musa,Croatia,FORWARD,0,110,0.0
Marco Pašalić,Croatia,MIDFIELDER,0,99,0.0
Igor Matanović,Croatia,FORWARD,0,95,0.0
Antoine Semenyo,Ghana,MIDFIELDER,0,360,0.0
Jordan Ayew,Ghana,FORWARD,0,300,0.0
Thomas Partey,Ghana,MIDFIELDER,0,270,0.0
Caleb Yirenkyi,Ghana,MIDFIELDER,0,264,0.0
Kwasi Sibo,Ghana,MIDFIELDER,0,248,0.0
Elisha Owusu,Ghana,MIDFIELDER,0,151,0.0
Abdul Fatawu Issahaku,Ghana,FORWARD,0,132,0.0
Kamaldeen Sulemana,Ghana,MIDFIELDER,0,127,0.0
Iñaki Williams,Ghana,MIDFIELDER,0,126,0.0
